Voltage_measured,Current_measured,Temperature_measured,SoC,cycle_number,battery_id,SoH
3.9644297048238264,-0.91,5.68,97.69972097435466,1,B0047,83.63
3.8431255515346634,-1.00,6.408628778958751,92.51,1,B0047,83.63
3.7963795394258115,-1.00,7.576324853435199,87.42297961447301,1,B0047,83.63
3.7495099121968196,-1.00,8.334521724605734,82.44434158103651,1,B0047,83.63
3.699625280228132,-1.00,7.3890321199006745,77.46575658437939,1,B0047,83.63
3.6464711829267076,-1.00,7.006770142703706,72.48644007545624,1,B0047,83.63
3.6129118332341035,-1.00,7.581403729197862,67.50460769076284,1,B0047,83.63
3.585190640599009,-0.99,8.098569582228425,62.523772829757064,1,B0047,83.63
3.556933014131284,-1.00,7.664539755541397,57.544804480292164,1,B0047,83.63
3.5154824634019346,-1.00,6.884367968332476,52.561765474101705,1,B0047,83.63
3.4931521106114802,-1.00,7.785949628248261,47.57599099263027,1,B0047,83.63
3.4763985918951867,-1.00,8.489783649854797,42.58338199681219,1,B0047,83.63
3.457723204147885,-1.00,8.728505215806459,37.59464546489136,1,B0047,83.63
3.4160109121553988,-1.00,7.593076356361173,32.60685971942469,1,B0047,83.63
3.382492809874933,-1.00,8.467745649016692,27.60897356362239,1,B0047,83.63
3.3511980701656294,-1.00,9.241165374752358,22.573280562794963,1,B0047,83.63
3.3074363178949064,-1.00,9.734092078753145,17.536540168394545,1,B0047,83.63
3.212261942125298,-1.00,8.664313295750896,12.496639718414636,1,B0047,83.63
3.0838266455790295,-1.00,9.735633069516282,7.454522417514416,1,B0047,83.63
2.8736596866546633,-1.00,10.981300917464099,2.4179712756384957,1,B0047,83.63
3.942164268737108,-0.90,6.02,97.82049948524006,2,B0047,76.12902157245225
3.835603857711546,-1.00,7.2551431598281875,92.80412115460898,2,B0047,76.12902157245225
3.775116754131278,-1.00,6.96,87.77929625104348,2,B0047,76.12902157245225
3.7130774363502455,-1.00,7.161975516695556,82.76606822293083,2,B0047,76.12902157245225
3.6724238005155874,-1.00,7.514754291891383,77.75617774322515,2,B0047,76.12902157245225
3.638677042714022,-1.00,7.82,72.74051271805442,2,B0047,76.12902157245225
3.607359679464826,-1.00,7.672268862915297,67.72385608816832,2,B0047,76.12902157245225
3.567796468081728,-1.00,6.974085783693087,62.70911960260808,2,B0047,76.12902157245225
3.5408307683083784,-1.00,7.550490704617095,57.69945992175196,2,B0047,76.12902157245225
3.5199672441263075,-1.00,8.06,52.67910895061079,2,B0047,76.12902157245225
3.500782835719523,-0.99,8.456177695257288,47.66433623706239,2,B0047,76.12902157245225
3.470641758485796,-1.00,7.515458928429912,42.65076411099173,2,B0047,76.12902157245225
3.441372600802787,-1.00,8.018624406197798,37.63514223049973,2,B0047,76.12902157245225
3.4178880221105166,-1.00,8.604423184598579,32.62,2,B0047,76.12902157245225
3.3912657061155262,-1.00,9.174065728717213,27.572054514757642,2,B0047,76.12902157245225
3.3485577346758326,-1.00,8.661498645600998,22.48959784011532,2,B0047,76.12902157245225
3.282739360634006,-1.00,8.88,17.407941744540032,2,B0047,76.12902157245225
3.2108297025112376,-1.00,9.63,12.335821942564026,2,B0047,76.12902157245225
3.098071669463243,-1.00,10.466561411065125,7.263810352681017,2,B0047,76.12902157245225
2.8845933027611625,-1.00,10.809346275766046,2.306832698673678,2,B0047,76.12902157245225
3.954941184670177,-0.90,5.550285051627393,97.79603465845726,3,B0047,75.31479494159613
3.8291609733186323,-1.00,5.917414804928426,92.72558174583634,3,B0047,75.31479494159613
3.7707678094251533,-1.00,7.0040285183650735,87.64229042439356,3,B0047,75.31479494159613
3.718577486581072,-1.00,7.659381477446885,82.56084285361668,3,B0047,75.31479494159613
3.6782040767673516,-1.00,7.967135025047694,77.48081427376182,3,B0047,75.31479494159613
3.635800274377219,-1.00,6.701812675420267,72.40503237584451,3,B0047,75.31479494159613
3.5905918955876075,-1.00,6.672749645301643,67.33,3,B0047,75.31479494159613
3.5626218564099434,-1.00,7.278242123563186,62.25425265778514,3,B0047,75.31479494159613
3.5400736007183142,-1.00,7.833610878800546,57.178230291858284,3,B0047,75.31479494159613
3.5195456440327564,-1.00,8.282101634611498,52.10649702035281,3,B0047,75.31479494159613
3.4879080902176844,-1.00,6.940937453841379,47.02937470860432,3,B0047,75.31479494159613
3.453589934740676,-1.00,7.3465435783110635,41.95238418202554,3,B0047,75.31479494159613
3.4317519317761045,-1.00,8.044091498484107,36.87664855866136,3,B0047,75.31479494159613
3.4092268943619826,-1.00,8.68,31.786140562411376,3,B0047,75.31479494159613
3.3814875537122937,-1.00,9.136447953708073,26.780866472943654,3,B0047,75.31479494159613
3.326104722492367,-1.00,7.867697272892627,21.884810776620238,3,B0047,75.31479494159613
3.2583734403438585,-1.00,8.499699686282923,16.99426017824777,3,B0047,75.31479494159613
3.1880952168986005,-1.00,9.369826470235182,12.106271444470575,3,B0047,75.31479494159613
3.078833362671419,-1.00,10.236377334317773,7.22,3,B0047,75.31479494159613
2.871677412821781,-1.00,11.191578394114263,2.3284365699595346,3,B0047,75.31479494159613
3.945369496346925,-0.90,5.152071796765093,97.75259323512923,4,B0047,74.08786893001343
3.83,-1.00,6.532808246149443,92.58253376440973,4,B0047,74.08786893001343
3.7739190587569196,-1.00,7.545885129696283,87.40529592379816,4,B0047,74.08786893001343
3.719922240107536,-1.00,7.997092570664597,82.22942587574707,4,B0047,74.08786893001343
3.666094455048418,-1.00,6.400790668840203,77.05,4,B0047,74.08786893001343
3.619879010587671,-1.00,6.687212194201034,71.88,4,B0047,74.08786893001343
3.589412641772605,-1.00,7.25,66.82298938503034,4,B0047,74.08786893001343
3.564566305806172,-1.00,7.757746157807913,61.90,4,B0047,74.08786893001343
